Product_id,product_name,product_type,product_weight,product_weight_type,31-January-to-14-February,15-February-to-26-February,27-February-to-8-Mars,6-April-to-16-April,17-April-to-25-April,26-April-to-7-May,8-May-to-23-May,24-May-to-6-June,7-June-to-21-June,22-June-to-6-July,7-July-to-19-July,20-july-to-1-August,2-August-to-14-August,15-August-to-23-August,24-August-to-5-September,6-September-to-18-September,19-september-to-27-september,28-September-to-10-October,11-october-to-22-october,23-october-to-31-october,1-November-to-11-November,14-november-to-21-november,22-november-to-4-necember,5-december-to-17-december,1-December-to-3-December,1-January-to-15-January,16-January-to-23-January,24-January-to-30-January,31-january-to-6-february,7-February-to-14-February,15-February-to-28-February,1-March-to-15-March,15-march-to-26-march
6224010414334,الزعيم فول تدميس - 500 جرام,بقالة,500,جم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6221030004934,الشمعدان بسكويت ويفر محشو شوكولاتة - 12 قطعة,بقالة,12,قطعة,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,16,16,16,16,0,0,0
6221030003692,الشمعدان ميجا ويفر محشو بالشوكولاتة - 90 جرام × 6 قطع,بقالة, 90  × 6 ,جم ×  قطع,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6221030003630,الشمعدان ويف ويفر بكريمة البندق - 60 جرام,بقالة,60,جم,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6223000660584,الضحى برغل - 500جم,بقالة,500,جم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6223000660607,الضحى ترمس - 500جم,بقالة,500,جم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6223000662519,الضحى سكر ابيض - 500 جم,بقالة,500,جم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6223000662533,الضحى سكر أبيض - 750 جرام,بقالة,750,جم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6223000662502,الضحى سكر بودرة - 1 كجم,بقالة,1,كجم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6223000663851,الضحى شعرية - 400 جم,بقالة,400,جم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6223000660522,الضحى عدس اصفر - 500جم,بقالة,500,جم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6223000660508,الضحى فاصوليا بيضاء - 500جم,بقالة,500,جم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6223000660546,الضحى فول مصري - 500جم,بقالة,500,جم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6223000660560,الضحى قمح - 500جم,بقالة,500,جم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6223000663783,الضحى مكرونة صدف صغيرة - 250 جرام,بقالة,250,جم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6223000660126,الضحي أرز محشي - 570 جرام,بقالة,570,جم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6223000660065,الضحي أرز ياسمين - 1 كجم,بقالة,1,كجم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6223000663073,الضحي فلفل أسود - 100جم,بقالة,100,جم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6223000662267,الضحي فلفل أسود - 230جم,بقالة,230,جم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6223000662007,الضحي فلفل أسود مطحون - 70جم,بقالة,70,جم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6935897609668,الطاهية مشروم كامل - 400جم,بقالة,400,جم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
